,a_Ataques,a_Ataques perigosos,a_Cartões amarelos,a_Cartões vermelhos,a_chutes_a_gol,a_Chutes ao ferro,a_Chutes bloqueados,a_Chutes fora,a_Escanteios,a_Faltas,a_Gols,a_Impedimentos,a_Laterais,a_Pênaltis,a_Segundo cartão amarelo,a_Substituições,a_Tiros de meta,a_Tiros-livres,at_current_classification,at_current_draws_away,at_current_draws_global,at_current_draws_home,at_current_loss_away,at_current_loss_global,at_current_loss_home,at_current_wins_away,at_current_wins_global,at_current_wins_home,at_games_without_draw_away,at_games_without_draw_global,at_games_without_draw_home,at_games_without_lose_away,at_games_without_lose_global,at_games_without_lose_home,at_games_without_win_away,at_games_without_win_global,at_games_without_win_home,away_team,away_team_score,city,datetime,h_Ataques,h_Ataques perigosos,h_Cartões amarelos,h_Cartões vermelhos,h_chutes_a_gol,h_Chutes ao ferro,h_Chutes bloqueados,h_Chutes fora,h_Escanteios,h_Faltas,h_Gols,h_Impedimentos,h_Laterais,possession,h_Pênaltis,h_Segundo cartão amarelo,h_Substituições,h_Tiros de meta,h_Tiros-livres,home_team,home_team_score,ht_current_classification,ht_current_draws_away,ht_current_draws_global,ht_current_draws_home,ht_current_loss_away,ht_current_loss_global,ht_current_loss_home,ht_current_wins_away,ht_current_wins_global,ht_current_wins_home,ht_games_without_draw_away,ht_games_without_draw_global,ht_games_without_draw_home,ht_games_without_lose_away,ht_games_without_lose_global,ht_games_without_lose_home,ht_games_without_win_away,ht_games_without_win_global,ht_games_without_win_home,referee,round,stadium,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,sub_home_player_1,sub_home_player_2,sub_home_player_3,sub_home_player_4,sub_home_player_5,sub_home_player_6,sub_home_player_7,sub_home_player_8,sub_home_player_9,sub_home_player_10,sub_home_player_11,sub_home_player_12,sub_away_player_1,sub_away_player_2,sub_away_player_3,sub_away_player_4,sub_away_player_5,sub_away_player_6,sub_away_player_7,sub_away_player_8,sub_away_player_9,sub_away_player_10,sub_away_player_11,sub_away_player_12,result,int_date,ht_eff_of,at_eff_of
0,29.0,14.0,2.0,,1.0,0.0,1.0,3.0,2.0,11.0,0.0,3.0,17.0,0.0,,,11.0,16.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Figueirense,0,"Rio de Janeiro, Rio de Janeiro",2014-04-19,58.0,37.0,0.0,,8.0,1.0,1.0,5.0,8.0,15.0,3.0,1.0,23.0,55.0,1.0,,,4.0,14.0,Fluminense,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ricardo Marques,1,Estadio Jornalista Mário Filho (Maracanã),"('person-9276', 'Diego Cavalieri')","('person-9241', 'Bruno')","('person-9347', 'Carlinhos')","('person-192989', 'Elivelton')","('person-42129', 'Gum')","('person-8945', 'Diguinho')","('person-32368', 'Jean')","('person-26787', 'D. Conca')","('person-10589', 'Wagner')","('person-3596', 'Rafael Sóbis')","('person-155', 'Fred')","('person-113642', 'Tiago Volpi')","('person-72274', 'Nirley')","('person-8974', 'Thiago Heleno')","('person-112310', 'Leandro Silva')","('person-248658', 'Marcos Pedroso')","('person-226907', 'Luan')","('person-95917', 'Giovanni Augusto')","('person-64268', 'Marcos Assunção')","('person-181781', 'Dudu')","('person-10293', 'Éverton Santos')","('person-170162', 'Lucio Maranhão')","('person-9341', 'Felipe')","('person-73187', 'Wellington Silva')","('person-245339', 'Wellington Carvalho')","('person-240834', 'Rafinha')","('person-287912', 'Kenedy')","('person-16062', 'E. Valencia')","('person-74347', 'Chiquinho')","('person-279126', 'Biro Biro')","('person-64417', 'Walter')",None,None,None,"('person-32595', 'Neneca')","('person-24762', 'Marquinhos')","('person-112051', 'Paulo Roberto')","('person-9449', 'Vítor Júnior')","('person-173984', 'Nem')","('person-33024', 'Marco Antônio')","('person-45058', 'Rivaldo')","('person-278572', 'Leo Lisboa')","('person-225224', 'Everaldo')",None,None,None,win,0,0.49382716049382713,0.24528301886792453
1,67.0,33.0,3.0,,2.0,0.0,0.0,2.0,3.0,17.0,0.0,2.0,16.0,,,,16.0,16.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,"Porto Alegre, Rio Grande do Sul",2014-04-19,77.0,44.0,2.0,,3.0,1.0,1.0,7.0,7.0,16.0,1.0,0.0,28.0,54.0,,,,6.0,19.0,Internacional,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Raphael Claus,1,Estádio José Pinheiro Borba (Beira-Rio),"('person-124', 'Dida')","('person-180820', 'Cláudio Winck')","('person-103416', 'Paulão')","('person-9052', 'Fabricio')","('person-132', 'Juan')","('person-3827', ""A. D'Alessandro"")","('person-95415', 'Alan Patrick')","('person-9415', 'Alex')","('person-32605', 'Willians')","('person-21922', 'C. Aránguiz')","('person-9150', 'Rafael Moura')","('person-32312', 'Wilson')","('person-128779', 'Ayrton')","('person-71048', 'Dão')","('person-234585', 'Luiz Gustavo')","('person-185489', 'Mansur')","('person-9071', 'Juan')","('person-33019', 'Marquinhos')","('person-23648', 'L. Cáceres')","('person-33014', 'Neto Coruja')","('person-328123', 'José Welison')","('person-9023', 'Dinei')","('person-64369', 'Agenor')","('person-9156', 'Ernando')","('person-32679', 'Alan Ruschel')","('person-317939', 'Valdívia')","('person-198027', 'Gladestony')","('person-7863', 'Ygor')","('person-32327', 'Wellington Paulista')","('person-8958', 'Jorge Henrique')","('person-153217', 'Eduardo Sasha')",None,None,None,"('person-143127', 'Gustavo')","('person-112223', 'Danilo Tarracha')","('person-176223', 'Rodrigo Defendi')","('person-83266', 'Nino Paraíba')","('person-327815', 'Mauri')","('person-316757', 'Marcelo')","('person-122231', 'Vinícius')","('person-9087', 'Souza')","('person-131443', 'William Henrique')",None,None,None,win,0,0.4157303370786517,0.28
2,61.0,26.0,1.0,,7.0,,3.0,6.0,3.0,24.0,,2.0,28.0,,,,4.0,29.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coritiba,0,"Chapecó, Santa Catarina",2014-04-19,62.0,19.0,0.0,,4.0,,4.0,3.0,4.0,27.0,,2.0,30.0,57.0,,,,10.0,26.0,Chapecoense,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rodrigo Nunes de Sá,1,Arena Condá,"('person-171047', 'Danilo')","('person-83123', 'Ednei')","('person-174473', 'Rodrigo Biro')","('person-71710', 'André Paulino')","('person-9101', 'Rafael Lima')","('person-170605', 'Abuda')","('person-53476', 'Roni')","('person-282119', 'Regis')","('person-72061', 'Wanderson')","('person-71482', 'Ricardo Conceição')","('person-110278', 'Bérgson')","('person-32900', 'Vanderlei')","('person-82899', 'Carlinhos')","('person-8912', 'Leandro Almeida')","('person-179302', 'Luccas Claro')","('person-72164', 'Victor Ferraz')","('person-112482', 'Baraka')","('person-226569', 'Roni')","('person-32302', 'Chico')","('person-71268', 'Gil')","('person-65376', 'Robinho')","('person-43655', 'Julio Cesar')","('person-137934', 'Nivaldo')","('person-113427', 'Jailton')","('person-71265', 'Tiago Saletti')","('person-88273', 'Bruno Collaço')","('person-226923', 'Alemão')","('person-74414', 'Dedé')","('person-230411', 'Willian Arão')","('person-162914', 'Wescley')","('person-25463', 'Tiago Luis')","('person-228361', 'Leandro Pereira')","('person-71780', 'Fabinho Alves')",None,"('person-233294', 'Vaná')","('person-48283', 'Moacir')","('person-161746', 'Diogo Goiano')","('person-194786', 'Bonfim')","('person-179304', 'Dudú')","('person-179215', 'Denner')","('person-20499', 'Jajá')","('person-119877', 'Geraldo')","('person-9453', 'Zé Love')",None,None,None,draw,0,0.3037974683544304,0.2608695652173913
3,45.0,24.0,4.0,,3.0,1.0,1.0,9.0,7.0,19.0,2.0,4.0,15.0,0.0,,,8.0,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,2,"Salvador, Bahia",2014-04-20,48.0,24.0,4.0,,7.0,0.0,2.0,5.0,7.0,15.0,1.0,0.0,20.0,46.0,1.0,,,10.0,23.0,Bahia,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luiz Flavio De Oliveira,1,Arena Fonte Nova,"('person-9062', 'Marcelo Lomba')","('person-71773', 'Demerson')","('person-78677', 'Diego Macedo')","('person-329245', 'Pará')","('person-9406', 'Titi')","('person-35429', 'Fahel')","('person-1984', 'Lincoln')","('person-8924', 'Rafael Miranda')","('person-17242', 'M. Biancucchi')","('person-67280', 'Rhayner')","('person-282310', 'Talisca')","('person-8961', 'Fábio')","('person-9319', 'Egídio')","('person-268729', 'Mayke')","('person-293475', 'Wallace')","('person-64406', 'Léo')","('person-271473', 'Marlone')","('person-4477', 'Tinga')","('person-17174', 'Nilton')","('person-71944', 'Souza')","('person-9398', 'Borges')","('person-78745', 'Willian')","('person-191016', 'Douglas Pires')","('person-238984', 'Railan')","('person-112181', 'Lucas Fonseca')","('person-70822', 'Raul')","('person-67282', 'Branquinho')","('person-112029', 'Helder')","('person-23738', 'W. Pittoni')","('person-88420', 'E. Biancucchi')","('person-248307', 'Rafinha')","('person-333976', 'Jeam')",None,None,"('person-90157', 'Elisson')","('person-330061', 'Alex')","('person-32925', 'Willian Farias')","('person-330137', 'Eurico')","('person-52278', 'A. Martinuccio')","('person-8989', 'M. Moreno')","('person-276507', 'Alisson')",None,None,None,None,None,lose,0,0.18181818181818182,0.34285714285714286
4,44.0,27.0,2.0,,5.0,,0.0,3.0,4.0,23.0,0.0,1.0,21.0,,,,4.0,25.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botafogo,0,"São Paulo, São Paulo",2014-04-20,49.0,27.0,1.0,,5.0,,1.0,2.0,4.0,18.0,3.0,7.0,15.0,56.0,,,,7.0,24.0,São Paulo,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pablo Almeida Costa,1,Estádio Cícero Pompeu de Toledo (Morumbi),"('person-9373', 'Rogério Ceni')","('person-52898', 'Á. Pereira')","('person-64457', 'Douglas Pereira')","('person-186289', 'Rodrigo Caio')","('person-18379', 'Antônio Carlos')","('person-65373', 'Ganso')","('person-33254', 'Souza')","('person-288089', 'Boschilia')","('person-16465', 'Maicon')","('person-9427', 'Alexandre Pato')","('person-4498', 'Luís Fabiano')","('person-4802', 'Jefferson')","('person-3126', 'Bolívar')","('person-227884', 'Dória')","('person-71117', 'Edílson')","('person-19297', 'Júlio César')","('person-9044', 'Marcelo Mattos')","('person-23398', 'N. Lodeiro')","('person-3189', 'Jorge Wágner')","('person-173974', 'Gabriel')","('person-26271', 'J. Ferreyra')","('person-32304', 'Wallyson')","('person-32708', 'Dênis')","('person-174478', 'Reinaldo')","('person-65193', 'Paulo Miranda')","('person-32731', 'Luis Ricardo')","('person-4705', 'Denílson')","('person-193478', 'Ademilson')","('person-79694', 'Osvaldo')","('person-66694', 'D. Pabón')",None,None,None,None,"('person-32310', 'Renan')","('person-9106', 'Lucas')","('person-170895', 'Dankler')","('person-2252', 'André Bahía')","('person-39934', 'Airton')","('person-16545', 'M. Bolatti')","('person-294283', 'Gegé')","('person-3121', 'Renato')","('person-22864', 'P. Zeballos')",None,None,None,win,0,0.45714285714285713,0.09333333333333334
5,49.0,34.0,,,9.0,,1.0,7.0,4.0,13.0,,2.0,18.0,,,,3.0,16.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corinthians,0,"Uberlândia, Minas Gerais",2014-04-20,49.0,34.0,,,12.0,,1.0,2.0,6.0,15.0,,1.0,13.0,53.0,,,,13.0,15.0,Atlético MG,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heber Lopes,1,Estádio Municipal João Havelange,"('person-32329', 'Victor')","('person-300810', 'Alex Silva')","('person-7476', 'Emerson Conçeiçao')","('person-9281', 'Leonardo Silva')","('person-66411', 'N. Otamendi')","('person-9293', 'Pierre')","('person-32922', 'Leandro Donizete')","('person-150', 'Ronaldinho Gaúcho')","('person-8991', 'Guilherme')","('person-4493', 'Diego Tardelli')","('person-32654', 'Fernandinho')","('person-17304', 'Cássio')","('person-78857', 'Gil')","('person-113769', 'Cleber Reis')","('person-8968', 'Fábio Santos')","('person-17306', 'Fágner')","('person-113045', 'Petros')","('person-88991', 'Guilherme')","('person-67276', 'Ralf')","('person-19656', 'Jádson')","('person-112373', 'Romarinho')","('person-234684', 'Luciano')","('person-66275', 'Giovanni')","('person-33271', 'Réver')","('person-9378', 'Edcarlos')","('person-156544', 'Fillipe Soutto')","('person-9050', 'Rosinei')","('person-79817', 'Claudinei')","('person-75403', 'André')","('person-70899', 'Neto Berola')","('person-227823', 'Marion')",None,None,None,"('person-136425', 'Walter')","('person-71121', 'Guilherme Andrade')","('person-171943', 'Felipe')","('person-136155', 'Bruno Henrique')","('person-329654', 'Zé Paulo')","('person-79900', 'Ferrugem')","('person-5638', 'Danilo')","('person-2009', 'P. Guerrero')","('person-333697', 'Malcom')",None,None,None,draw,0,0.3111111111111111,0.2328767123287671
6,80.0,55.0,2.0,,5.0,,3.0,10.0,10.0,15.0,0.0,1.0,26.0,,,,8.0,22.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,0,"Florianópolis, Santa Catarina",2014-04-20,59.0,31.0,1.0,,1.0,,1.0,3.0,1.0,18.0,1.0,4.0,14.0,40.0,,,,14.0,17.0,Atlético PR,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcelo de Lima Henrique,1,Estádio Orlando Scarpelli,"('person-115496', 'Santos')","('person-242516', 'Cleberson')","('person-226861', 'Drausio')","('person-282922', 'Mario Sérgio')","('person-78767', 'João Paulo')","('person-178238', 'Natanael Pimienta')","('person-115497', 'Deivid')","('person-9764', 'Paulinho Dias')","('person-282430', 'Marcos Guilherme')","('person-81529', 'Marcelo Cirino')","('person-50103', 'Ederson')","('person-115221', 'Busatto')","('person-327847', 'Breno')","('person-115239', 'Bressan')","('person-32800', 'Pará')","('person-17076', 'Pedro Geromel')","('person-9416', 'Edinho')","('person-174110', 'Ramiro')","('person-9360', 'Zé Roberto')","('person-405', 'C. Riveros')","('person-20270', 'H. Barcos')","('person-82057', 'Dudu')","('person-32538', 'Weverton')","('person-288077', 'Leo Pereira')","('person-228524', 'L. Olaza')","('person-328063', 'Otavio')","('person-82792', 'Felipe')","('person-111653', 'Bady')","('person-287915', 'Mosquito')","('person-236688', 'Douglas Coutinho')","('person-226424', 'Bruno Mendes')",None,None,None,"('person-9187', 'Marcelo Grohe')","('person-74179', 'Werley')","('person-171763', 'Moisés')","('person-189511', 'A. Ruiz')","('person-78714', 'Rodriguinho')","('person-91735', 'M. Rodríguez')","('person-32699', 'Léo Gago')","('person-282474', 'Lucas Coelho')","('person-327852', 'Everton')",None,None,None,win,0,0.3333333333333333,0.16216216216216217
7,49.0,24.0,2.0,,6.0,,4.0,3.0,3.0,14.0,,2.0,13.0,,,,8.0,18.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goiás,0,"Brasília, Distrito Federal",2014-04-20,60.0,44.0,4.0,,4.0,,3.0,2.0,10.0,13.0,,5.0,22.0,64.0,,,,5.0,16.0,Flamengo,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anderson Daronco,1,Estádio Nacional de Brasília,"('person-12425', 'Felipe')","('person-9097', 'Chicão')","('person-9064', 'Leo Moura')","('person-33010', 'Wallace')","('person-32286', 'Marcio Araujo')","('person-172588', 'Amaral')","('person-129194', 'L. Mugni')","('person-9333', 'Éverton')","('person-193049', 'Luiz Antonio')","('person-64341', 'Alecsandro')","('person-169159', 'Paulinho')","('person-9401', 'Renan')","('person-79757', 'Lucas Lima')","('person-166610', 'Pedrão')","('person-9164', 'Vitor')","('person-170536', 'Jackson')","('person-9166', 'Amaral')","('person-113530', 'João Paulo')","('person-167149', 'Thiago Mendes')","('person-9139', 'David')","('person-5562', 'Rychely')","('person-8985', 'Araújo')","('person-64355', 'Paulo Victor')","('person-115005', 'F. Erazo')","('person-72026', 'João Paulo')","('person-176740', 'Muralha')","('person-229032', 'Mattheus')","('person-294174', 'Recife')","('person-248306', 'Nixon')","('person-163621', 'Negueba')","('person-170927', 'Gabriel')",None,None,None,"('person-9152', 'Harlei')","('person-233910', 'Alex Alves')","('person-121795', 'Tiago Real')","('person-9204', 'Ramon')","('person-236401', 'Liniker')","('person-113651', 'Juliano')","('person-180819', 'Léo Bonatini')","('person-329153', 'Felipe')","('person-174760', 'Welinton')",None,None,None,draw,0,0.47540983606557374,0.12698412698412698
8,71.0,42.0,5.0,,5.0,,2.0,6.0,5.0,15.0,2.0,1.0,26.0,,,,10.0,14.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,2,"Criciúma, Santa Catarina",2014-04-20,67.0,36.0,3.0,,7.0,,2.0,4.0,7.0,12.0,1.0,2.0,33.0,44.0,,,,11.0,16.0,Criciúma,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,André Luiz de Freitas Castro,1,Estádio Heriberto Hülse,"('person-171924', 'Bruno Brigido')","('person-115289', 'Giovanni')","('person-13785', 'S. Escudero')","('person-9462', 'Eduardo')","('person-9777', 'Fábio Ferreira')","('person-37513', 'João Vitor')","('person-8926', 'Serginho')","('person-9163', 'Paulo Baier')","('person-32801', 'Ricardinho')","('person-289570', 'Bruno Lopes')","('person-112399', 'Silvinho')","('person-16938', 'Fernando Prass')","('person-79754', 'Juninho')","('person-80072', 'Tiago Alves')","('person-133', 'Lúcio')","('person-9296', 'Wendel')","('person-10265', 'Marcelo Oliveira')","('person-113523', 'Josimar')","('person-73192', 'Marquinhos Gabriel')","('person-72067', 'Bruno César')","('person-9295', 'J. Valdivia')","('person-11894', 'Alan Kardec')","('person-9188', 'Galatto')","('person-172590', 'Bruno Cortez')","('person-99990', 'Ronaldo Alves')","('person-245160', 'Ezequiel')","('person-324442', 'Luizinho Mello')","('person-112864', 'Wellington Bruno')","('person-282611', 'Vítor Michels')","('person-330833', 'Gustavo')",None,None,None,None,"('person-164090', 'Fabio')","('person-113439', 'Wellington')","('person-35363', 'William Matheus')","('person-65382', 'Wesley')","('person-88691', 'W. Mendieta')","('person-6160', 'S. Eguren')","('person-177584', 'Leandro')","('person-9171', 'Felipe Menezes')","('person-326277', 'Rodolfo')",None,None,None,lose,0,0.2878787878787879,0.17567567567567569
9,63.0,31.0,3.0,,3.0,0.0,1.0,5.0,2.0,22.0,1.0,2.0,22.0,,,,18.0,26.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,1,"Santos, São Paulo",2014-04-20,69.0,47.0,1.0,,7.0,1.0,1.0,12.0,9.0,23.0,1.0,3.0,18.0,49.0,,,,8.0,24.0,Santos,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arilson Bispo da Anunciação,1,Estádio Urbano Caldeira,"('person-32707', 'Aranha')","('person-9278', 'David Braz')","('person-111938', 'E. Mena')","('person-103783', 'Neto')","('person-72265', 'Cicinho')","('person-9137', 'Arouca')","('person-9138', 'Cícero')","('person-113526', 'Leandro Damião')","('person-297700', 'Gabriel')","('person-63706', 'Thiago Ribeiro')","('person-191206', 'Geuvânio')","('person-9431', 'Magrão')","('person-9435', 'Durval')","('person-225802', 'Rene')","('person-112977', 'Ewerton Páscoa')","('person-33478', 'Patric')","('person-112721', 'Ferron')","('person-32923', 'Rodrigo Mancha')","('person-4491', 'Wendel')","('person-32296', 'Renan Oliveira')","('person-32958', 'Neto Baiano')","('person-71013', 'Felipe Azevedo')","('person-104535', 'Vladimir')","('person-170872', 'Jubal')","('person-180822', 'Emerson')","('person-144203', 'Bruno Uvini')","('person-112978', 'Bruno Peres')","('person-174010', 'Lucas Lima')","('person-103550', 'Alan Santos')","('person-191903', 'Alison')","('person-180823', 'Diego Cardoso')","('person-328688', 'Stéfano Yuri')",None,None,"('person-9434', 'Saulo')","('person-211001', 'Oswaldo')","('person-282265', 'Danilo')","('person-80981', 'Aílton')","('person-104850', 'Rithely')","('person-166614', 'Augusto Cesar')","('person-288699', 'Erico Junior')","('person-9092', 'Leonardo')","('person-68267', 'Ananias')",None,None,None,draw,0,0.3472222222222222,0.2549019607843137
10,71.0,35.0,4.0,,1.0,0.0,0.0,4.0,7.0,24.0,,2.0,17.0,,,,11.0,17.0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,Santos,0,"Curitiba, Paraná",2014-04-26,74.0,40.0,3.0,,7.0,2.0,1.0,6.0,13.0,15.0,,2.0,16.0,53.0,,,,4.0,26.0,Coritiba,0,12,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,Emerson De Almeida Ferreira,2,Estádio Major Antônio Couto Pereira,"('person-32900', 'Vanderlei')","('person-82899', 'Carlinhos')","('person-8912', 'Leandro Almeida')","('person-72164', 'Victor Ferraz')","('person-179302', 'Luccas Claro')","('person-112482', 'Baraka')","('person-32302', 'Chico')","('person-71268', 'Gil')","('person-65376', 'Robinho')","('person-43655', 'Julio Cesar')","('person-9453', 'Zé Love')","('person-32707', 'Aranha')","('person-72265', 'Cicinho')","('person-170872', 'Jubal')","('person-9278', 'David Braz')","('person-180822', 'Emerson')","('person-103550', 'Alan Santos')","('person-191903', 'Alison')","('person-9138', 'Cícero')","('person-113526', 'Leandro Damião')","('person-63706', 'Thiago Ribeiro')","('person-297700', 'Gabriel')","('person-233294', 'Vaná')","('person-194786', 'Bonfim')","('person-48283', 'Moacir')","('person-132355', 'Dener')","('person-226569', 'Roni')","('person-8919', 'Germano')","('person-32893', 'Keirrison')","('person-20499', 'Jajá')","('person-119877', 'Geraldo')",None,None,None,"('person-104535', 'Vladimir')","('person-112978', 'Bruno Peres')","('person-332808', 'Zé Carlos')","('person-144203', 'Bruno Uvini')","('person-174010', 'Lucas Lima')","('person-218551', 'Leandrinho')","('person-328688', 'Stéfano Yuri')","('person-191206', 'Geuvânio')","('person-180823', 'Diego Cardoso')",None,None,None,draw,0,0.2727272727272727,0.25757575757575757
