,data,time_casa,time_visitante,resultado,id_partida,link
0,13/05/2017 16:00h,Flamengo,Atlético MG,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/atletico-mg/2418967/1/live
1,13/05/2017 19:00h,Corinthians,Chapecoense,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/chapecoense/2418969/1/live
2,14/05/2017 11:00h,Fluminense,Santos,3-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/santos/2418966/1/live
3,14/05/2017 16:00h,Palmeiras,Vasco,4-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/vasco/2418968/1/live
4,14/05/2017 16:00h,Cruzeiro,São Paulo,1-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/sao-paulo/2418970/1/live
5,14/05/2017 16:00h,Bahia,Atlético PR,6-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/bahia/atletico-pr/2418973/1/live
6,14/05/2017 16:00h,Ponte Preta,Sport,4-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ponte-preta/sport/2418974/1/live
7,14/05/2017 16:00h,Avaí,Vitória,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/avai/vitoria/2418975/1/live
8,14/05/2017 19:00h,Grêmio,Botafogo,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/botafogo/2418972/1/live
9,15/05/2017 20:00h,Coritiba,Atlético GO,4-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/atletico-go/2418971/1/live
10,20/05/2017 16:00h,Santos,Coritiba,1-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/coritiba/2418978/1/live
11,20/05/2017 19:00h,Atlético GO,Flamengo,0-3,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-go/flamengo/2418984/1/live
12,20/05/2017 19:00h,Chapecoense,Palmeiras,1-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/chapecoense/palmeiras/2418985/1/live
13,21/05/2017 11:00h,Vasco,Bahia,2-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/bahia/2418977/1/live
14,21/05/2017 16:00h,Atlético MG,Fluminense,1-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/fluminense/2418980/1/live
15,21/05/2017 16:00h,Atlético PR,Grêmio,0-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/gremio/2418981/1/live
16,21/05/2017 16:00h,Vitória,Corinthians,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/corinthians/2418983/1/live
17,21/05/2017 18:00h,Botafogo,Ponte Preta,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/ponte-preta/2418976/1/live
18,21/05/2017 19:00h,Sport,Cruzeiro,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/cruzeiro/2418982/1/live
19,22/05/2017 20:00h,São Paulo,Avaí,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/avai/2418979/1/live
20,27/05/2017 16:00h,Vasco,Fluminense,3-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/fluminense/2418987/1/live
21,27/05/2017 19:00h,São Paulo,Palmeiras,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/palmeiras/2418989/1/live
22,27/05/2017 21:00h,Vitória,Coritiba,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/coritiba/2418993/1/live
23,28/05/2017 11:00h,Atlético MG,Ponte Preta,2-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/ponte-preta/2418990/1/live
24,28/05/2017 16:00h,Santos,Cruzeiro,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/cruzeiro/2418988/1/live
25,28/05/2017 16:00h,Atlético PR,Flamengo,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/flamengo/2418991/1/live
26,28/05/2017 16:00h,Atlético GO,Corinthians,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-go/corinthians/2418994/1/live
27,28/05/2017 18:00h,Sport,Grêmio,4-3,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/gremio/2418992/1/live
28,28/05/2017 19:00h,Botafogo,Bahia,1-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/bahia/2418986/1/live
29,29/05/2017 20:00h,Chapecoense,Avaí,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/chapecoense/avai/2418995/1/live
