,data,time_casa,time_visitante,resultado
0,14/04/2018 16:00h,Cruzeiro,Grêmio,0-1
1,14/04/2018 19:00h,Vitória,Flamengo,2-2
2,14/04/2018 21:00h,Santos,Ceará,2-0
3,15/04/2018 11:00h,América MG,Sport,3-0
4,15/04/2018 16:00h,Vasco,Atlético MG,2-1
5,15/04/2018 16:00h,Corinthians,Fluminense,2-1
6,15/04/2018 16:00h,Internacional,Bahia,2-0
7,15/04/2018 19:00h,Atlético PR,Chapecoense,5-1
8,16/04/2018 20:00h,Botafogo,Palmeiras,1-1
9,16/04/2018 20:00h,São Paulo,Paraná,1-0
10,21/04/2018 16:00h,Bahia,Santos,1-0
11,21/04/2018 19:00h,Flamengo,América MG,2-0
12,22/04/2018 11:00h,Paraná,Corinthians,0-4
13,22/04/2018 16:00h,Atlético MG,Vitória,2-1
14,22/04/2018 16:00h,Chapecoense,Vasco,1-1
15,22/04/2018 16:00h,Fluminense,Cruzeiro,1-0
16,22/04/2018 16:00h,Ceará,São Paulo,0-0
17,22/04/2018 16:00h,Palmeiras,Internacional,1-0
18,22/04/2018 19:00h,Grêmio,Atlético PR,0-0
19,23/04/2018 20:00h,Sport,Botafogo,1-1
20,28/04/2018 16:00h,Botafogo,Grêmio,2-1
21,29/04/2018 16:00h,Atlético MG,Corinthians,1-0
22,29/04/2018 16:00h,Paraná,Sport,1-2
23,29/04/2018 16:00h,Bahia,Atlético PR,0-0
24,29/04/2018 16:00h,Fluminense,São Paulo,1-1
25,29/04/2018 16:00h,Ceará,Flamengo,0-3
26,29/04/2018 16:00h,Palmeiras,Chapecoense,0-0
27,29/04/2018 19:00h,Internacional,Cruzeiro,0-0
28,30/04/2018 20:00h,América MG,Vitória,2-1
29,05/05/2018 19:00h,Vasco,América MG,4-1
30,05/05/2018 19:00h,São Paulo,Atlético MG,2-2
31,06/05/2018 11:00h,Corinthians,Ceará,1-1
32,06/05/2018 16:00h,Cruzeiro,Botafogo,1-0
33,06/05/2018 16:00h,Atlético PR,Palmeiras,1-3
34,06/05/2018 16:00h,Vitória,Fluminense,1-2
35,06/05/2018 16:00h,Flamengo,Internacional,2-0
36,06/05/2018 19:00h,Sport,Bahia,2-0
37,06/05/2018 19:00h,Grêmio,Santos,5-1
38,07/05/2018 20:00h,Chapecoense,Paraná,1-1
39,12/05/2018 16:00h,Grêmio,Internacional,0-0
40,13/05/2018 11:00h,Cruzeiro,Sport,2-0
41,13/05/2018 16:00h,Atlético PR,Atlético MG,1-2
42,13/05/2018 16:00h,Chapecoense,Flamengo,3-2
43,13/05/2018 16:00h,Bahia,São Paulo,2-2
44,13/05/2018 16:00h,Vasco,Vitória,2-3
45,13/05/2018 16:00h,Corinthians,Palmeiras,1-0
46,13/05/2018 19:00h,Santos,Paraná,3-1
47,14/05/2018 20:00h,Botafogo,Fluminense,2-1
48,14/05/2018 20:00h,Ceará,América MG,2-2
49,19/05/2018 16:00h,Atlético MG,Cruzeiro,1-0
50,19/05/2018 19:00h,Flamengo,Vasco,1-1
51,19/05/2018 21:00h,Palmeiras,Bahia,3-0
52,20/05/2018 11:00h,Vitória,Ceará,2-1
53,20/05/2018 16:00h,Paraná,Grêmio,0-0
54,20/05/2018 16:00h,América MG,Botafogo,1-0
55,20/05/2018 16:00h,São Paulo,Santos,1-0
56,20/05/2018 16:00h,Sport,Corinthians,1-1
57,20/05/2018 19:00h,Fluminense,Atlético PR,2-0
58,21/05/2018 20:00h,Internacional,Chapecoense,3-0
59,26/05/2018 16:00h,Fluminense,Chapecoense,3-1
60,26/05/2018 19:00h,Palmeiras,Sport,2-3
61,26/05/2018 21:00h,Atlético MG,Flamengo,0-1
62,27/05/2018 11:00h,Paraná,Atlético PR,0-0
63,27/05/2018 16:00h,Bahia,Vasco,3-0
64,27/05/2018 16:00h,Botafogo,Vitória,1-1
65,27/05/2018 16:00h,Santos,Cruzeiro,0-1
66,27/05/2018 16:00h,Internacional,Corinthians,2-1
67,27/05/2018 19:00h,América MG,São Paulo,1-3
68,27/05/2018 19:00h,Ceará,Grêmio,0-1
69,30/05/2018 19:30h,Vitória,Internacional,2-3
70,30/05/2018 19:30h,Vasco,Paraná,1-0
71,30/05/2018 19:30h,Sport,Atlético MG,3-2
72,30/05/2018 21:00h,Chapecoense,Ceará,2-0
73,30/05/2018 21:00h,São Paulo,Botafogo,3-2
74,30/05/2018 21:45h,Cruzeiro,Palmeiras,1-0
75,30/05/2018 21:45h,Grêmio,Fluminense,0-0
76,31/05/2018 16:00h,Flamengo,Bahia,2-0
77,31/05/2018 18:00h,Corinthians,América MG,1-0
78,31/05/2018 21:00h,Atlético PR,Santos,2-0
79,02/06/2018 16:00h,Atlético MG,Chapecoense,3-3
80,02/06/2018 16:00h,Internacional,Sport,0-0
81,02/06/2018 19:00h,Vasco,Botafogo,1-2
82,02/06/2018 21:00h,Palmeiras,São Paulo,3-1
83,03/06/2018 16:00h,América MG,Atlético PR,3-1
84,03/06/2018 16:00h,Bahia,Grêmio,0-2
85,03/06/2018 16:00h,Flamengo,Corinthians,1-0
86,03/06/2018 16:00h,Santos,Vitória,5-2
87,03/06/2018 19:00h,Ceará,Cruzeiro,0-1
88,04/06/2018 20:00h,Paraná,Fluminense,2-1
89,05/06/2018 21:30h,São Paulo,Internacional,0-0
90,06/06/2018 19:30h,Vitória,Chapecoense,1-0
91,06/06/2018 19:30h,Botafogo,Ceará,0-0
92,06/06/2018 21:00h,Sport,Atlético PR,1-0
93,06/06/2018 21:00h,Corinthians,Santos,1-1
94,06/06/2018 21:45h,Cruzeiro,Vasco,1-1
95,06/06/2018 21:45h,Grêmio,Palmeiras,0-2
96,07/06/2018 20:00h,Paraná,Bahia,1-0
97,07/06/2018 20:00h,Fluminense,Flamengo,0-2
98,07/06/2018 21:00h,América MG,Atlético MG,1-3
99,09/06/2018 16:00h,Atlético PR,São Paulo,0-1
100,09/06/2018 19:00h,Chapecoense,Cruzeiro,2-0
101,09/06/2018 19:00h,Vasco,Sport,3-2
102,09/06/2018 21:00h,Corinthians,Vitória,0-0
103,10/06/2018 16:00h,Atlético MG,Fluminense,5-2
104,10/06/2018 16:00h,Bahia,Botafogo,3-3
105,10/06/2018 16:00h,Ceará,Palmeiras,2-2
106,10/06/2018 16:00h,Grêmio,América MG,1-0
107,10/06/2018 19:00h,Flamengo,Paraná,2-0
108,10/06/2018 19:00h,Santos,Internacional,1-2
109,12/06/2018 21:30h,São Paulo,Vitória,3-0
110,13/06/2018 16:00h,América MG,Chapecoense,0-0
111,13/06/2018 19:00h,Fluminense,Santos,0-1
112,13/06/2018 19:30h,Paraná,Cruzeiro,1-1
113,13/06/2018 19:30h,Sport,Grêmio,0-0
114,13/06/2018 21:00h,Botafogo,Atlético PR,2-0
115,13/06/2018 21:00h,Palmeiras,Flamengo,1-1
116,13/06/2018 21:45h,Atlético MG,Ceará,2-1
117,13/06/2018 21:45h,Bahia,Corinthians,1-0
118,13/06/2018 21:45h,Internacional,Vasco,3-1
119,18/07/2018 19:30h,Ceará,Sport,1-0
120,18/07/2018 21:00h,Vitória,Paraná,1-0
121,18/07/2018 21:45h,Flamengo,São Paulo,0-1
122,18/07/2018 21:45h,Corinthians,Botafogo,2-0
123,18/07/2018 21:45h,Grêmio,Atlético MG,2-0
124,19/07/2018 19:30h,Cruzeiro,América MG,3-1
125,19/07/2018 19:30h,Chapecoense,Bahia,1-1
126,19/07/2018 20:00h,Vasco,Fluminense,1-1
127,19/07/2018 20:00h,Santos,Palmeiras,1-1
128,19/07/2018 21:00h,Atlético PR,Internacional,2-2
129,21/07/2018 19:00h,Flamengo,Botafogo,2-0
130,21/07/2018 21:00h,São Paulo,Corinthians,3-1
131,22/07/2018 16:00h,Paraná,América MG,1-0
132,22/07/2018 16:00h,Bahia,Vitória,4-1
133,22/07/2018 16:00h,Vasco,Grêmio,1-0
134,22/07/2018 16:00h,Sport,Fluminense,1-2
135,22/07/2018 16:00h,Palmeiras,Atlético MG,3-2
136,22/07/2018 19:00h,Cruzeiro,Atlético PR,2-1
137,22/07/2018 19:00h,Chapecoense,Santos,0-0
138,23/07/2018 20:00h,Internacional,Ceará,1-0
139,25/07/2018 19:30h,Fluminense,Palmeiras,1-0
140,25/07/2018 21:00h,Atlético MG,Paraná,2-0
141,25/07/2018 21:45h,Santos,Flamengo,1-1
142,25/07/2018 21:45h,Corinthians,Cruzeiro,2-0
143,26/07/2018 19:30h,Vitória,Sport,1-0
144,26/07/2018 19:30h,Botafogo,Chapecoense,1-0
145,26/07/2018 19:30h,Grêmio,São Paulo,2-1
146,26/07/2018 20:00h,América MG,Internacional,2-1
147,28/07/2018 16:00h,Ceará,Fluminense,1-0
148,29/07/2018 11:00h,Vasco,Corinthians,1-4
149,29/07/2018 11:00h,Palmeiras,Paraná,3-0
150,29/07/2018 16:00h,Cruzeiro,São Paulo,0-2
151,29/07/2018 16:00h,Atlético PR,Vitória,4-0
152,29/07/2018 16:00h,Flamengo,Sport,4-1
153,29/07/2018 16:00h,Internacional,Botafogo,3-0
154,29/07/2018 19:00h,Chapecoense,Grêmio,1-1
155,29/07/2018 19:00h,Santos,América MG,0-1
156,30/07/2018 20:00h,Bahia,Atlético MG,2-2
157,04/08/2018 16:00h,Botafogo,Santos,0-0
