,a_Ataques,a_Ataques perigosos,a_Cartões amarelos,a_Cartões vermelhos,a_chutes_a_gol,a_Chutes ao ferro,a_Chutes bloqueados,a_Chutes fora,a_Escanteios,a_Faltas,a_Gols,a_Impedimentos,a_Laterais,a_Pênaltis,a_Segundo cartão amarelo,a_Substituições,a_Tiros de meta,a_Tiros-livres,at_current_classification,at_current_draws_away,at_current_draws_global,at_current_draws_home,at_current_loss_away,at_current_loss_global,at_current_loss_home,at_current_wins_away,at_current_wins_global,at_current_wins_home,at_games_without_draw_away,at_games_without_draw_global,at_games_without_draw_home,at_games_without_lose_away,at_games_without_lose_global,at_games_without_lose_home,at_games_without_win_away,at_games_without_win_global,at_games_without_win_home,away_team,away_team_score,city,datetime,h_Ataques,h_Ataques perigosos,h_Cartões amarelos,h_Cartões vermelhos,h_chutes_a_gol,h_Chutes ao ferro,h_Chutes bloqueados,h_Chutes fora,h_Escanteios,h_Faltas,h_Gols,h_Impedimentos,h_Laterais,possession,h_Pênaltis,h_Segundo cartão amarelo,h_Substituições,h_Tiros de meta,h_Tiros-livres,home_team,home_team_score,ht_current_classification,ht_current_draws_away,ht_current_draws_global,ht_current_draws_home,ht_current_loss_away,ht_current_loss_global,ht_current_loss_home,ht_current_wins_away,ht_current_wins_global,ht_current_wins_home,ht_games_without_draw_away,ht_games_without_draw_global,ht_games_without_draw_home,ht_games_without_lose_away,ht_games_without_lose_global,ht_games_without_lose_home,ht_games_without_win_away,ht_games_without_win_global,ht_games_without_win_home,referee,round,stadium,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,sub_home_player_1,sub_home_player_2,sub_home_player_3,sub_home_player_4,sub_home_player_5,sub_home_player_6,sub_home_player_7,sub_home_player_8,sub_home_player_9,sub_home_player_10,sub_home_player_11,sub_home_player_12,sub_away_player_1,sub_away_player_2,sub_away_player_3,sub_away_player_4,sub_away_player_5,sub_away_player_6,sub_away_player_7,sub_away_player_8,sub_away_player_9,sub_away_player_10,sub_away_player_11,sub_away_player_12,result,int_date,ht_eff_of,at_eff_of
0,61.0,36.0,2.0,,3.0,,3.0,7.0,6.0,11.0,1.0,1.0,25.0,,,3.0,12.0,10.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético MG,1,"Rio de Janeiro, Rio de Janeiro",2017-05-13,71.0,46.0,2.0,,2.0,,0.0,6.0,4.0,7.0,1.0,3.0,18.0,48.0,,,3.0,10.0,12.0,Flamengo,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alessandro Álvaro Rocha de Matos,1,Estadio Jornalista Mário Filho (Maracanã),"('person-112708', 'Alex Muralha')","('person-33271', 'Réver')","('person-32800', 'Pará')","('person-171224', 'Rafael Vaz')","('person-176390', 'M. Trauco')","('person-9333', 'Éverton')","('person-32286', 'Marcio Araujo')","('person-230411', 'Willian Arão')","('person-2009', 'P. Guerrero')","('person-398674', 'Matheus Sávio')","('person-74436', 'O. Berrío')","('person-32329', 'Victor')","('person-39422', 'Felipe Santana')","('person-32573', 'Carlos César')","('person-330130', 'Gabriel')","('person-8968', 'Fábio Santos')","('person-148555', 'R. Otero')","('person-34971', 'Elias')","('person-157', 'Robinho')","('person-9209', 'Adílson')","('person-33519', 'Rafael Carioca')","('person-155', 'Fred')","('person-225802', 'Rene')","('person-132', 'Juan')","('person-436474', 'Leo Duarte')","('person-192705', 'Rodinei')","('person-428489', 'Ronaldo')","('person-438313', 'Lucas Paqueta')","('person-84154', 'G. Cuéllar')","('person-1270', 'Ederson')","('person-474972', 'Vinícius Júnior')","('person-113526', 'Leandro Damião')","('person-434545', 'Felipe Vizeu')",None,"('person-66275', 'Giovanni')","('person-330131', 'Rodrigão')","('person-282265', 'Danilo Barcelos')","('person-8978', 'Maicosuel')","('person-169690', 'J. Cazares')","('person-303828', 'Yago')","('person-455710', 'Ralph')","('person-271473', 'Marlone')","('person-9150', 'Rafael Moura')",None,None,None,draw,0,0.3516483516483517,0.46296296296296297
1,59.0,38.0,2.0,,,2.0,4.0,6.0,7.0,13.0,1.0,3.0,24.0,,,3.0,4.0,11.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chapecoense,1,"São Paulo, São Paulo",2017-05-13,63.0,35.0,2.0,,,0.0,0.0,3.0,1.0,10.0,1.0,1.0,24.0,60.0,,,3.0,10.0,16.0,Corinthians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elmo Alves Resende Cunha,1,Arena Corinthians,"('person-17304', 'Cássio')","('person-113986', 'Pablo')","('person-17306', 'Fágner')","('person-225552', 'F. Balbuena')","('person-355909', 'Guilherme Arana')","('person-78714', 'Rodriguinho')","('person-19656', 'Jádson')","('person-173974', 'Gabriel')","('person-433352', 'Maycon')","('person-6414', 'Jô')","('person-192525', 'Á. Romero')","('person-327864', 'Jandrei')","('person-328076', 'Luiz Otavio')","('person-371205', 'João Pedro')","('person-68410', 'Victor Ramos')","('person-174478', 'Reinaldo')","('person-33252', 'Apodi')","('person-193049', 'Luiz Antonio')","('person-171544', 'Andrei Girotto')","('person-32327', 'Wellington Paulista')","('person-148322', 'Arthur')","('person-226564', 'Rossi')","('person-247922', 'Matheus Vidotto')","('person-136425', 'Walter')","('person-329711', 'Pedro Henrique')","('person-398741', 'Léo Santos')","('person-73192', 'Marquinhos Gabriel')","('person-84752', 'Camacho')","('person-112051', 'Paulo Roberto')","('person-476748', 'Pedrinho')","('person-396804', 'Marciel')","('person-462617', 'Léo Jabá')","('person-4558', 'C. Kazim-Richards')",None,"('person-61115', 'Artur Moraes')","('person-395709', 'Elias Curzel')","('person-74810', 'Diego Renan')","('person-365417', 'Nathan')","('person-438564', 'Fabricio Bruno')","('person-121698', 'Douglas Grolli')","('person-120553', 'Neném')","('person-258914', 'Osman')","('person-284980', 'Moisés')","('person-170348', 'Nadson')","('person-4968', 'Túlio de Melo')","('person-302812', 'Niltinho')",draw,0,0.48484848484848486,0.42592592592592593
2,44.0,32.0,5.0,,5.0,2.0,2.0,9.0,8.0,17.0,2.0,2.0,21.0,0.0,,3.0,5.0,17.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,2,"Rio de Janeiro, Rio de Janeiro",2017-05-14,42.0,27.0,1.0,,3.0,1.0,1.0,1.0,5.0,15.0,3.0,2.0,6.0,44.0,1.0,,3.0,10.0,19.0,Fluminense,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wagner Reway,1,Estadio Jornalista Mário Filho (Maracanã),"('person-9276', 'Diego Cavalieri')","('person-32876', 'Henrique')","('person-9106', 'Lucas')","('person-65394', 'Renato Chaves')","('person-319777', 'Léo')","('person-236331', 'J. Orejuela')","('person-473916', 'Wendel')","('person-112183', 'Henrique Dourado')","('person-180800', 'J. Sornoza')","('person-102692', 'Wellington')","('person-407737', 'Richarlison')","('person-32900', 'Vanderlei')","('person-430035', 'Lucas Verissimo')","('person-72164', 'Victor Ferraz')","('person-301982', 'Yuri Oliveira')","('person-174010', 'Lucas Lima')","('person-226627', 'Jean Mota')","('person-328277', 'Vitor Bueno')","('person-290444', 'Thiago Maia')","('person-3121', 'Renato')","('person-3997', 'Ricardo Oliveira')","('person-395631', 'Bruno Henrique')","('person-8933', 'Júlio César')","('person-132040', 'Renato')","('person-376377', 'Nogueira')","('person-9293', 'Pierre')","('person-170928', 'Maranhão')","('person-343407', 'Gustavo Scarpa')","('person-415931', 'Douglas')","('person-239932', 'Marcos Júnior')","('person-435998', 'Pedro')",None,None,None,"('person-104535', 'Vladimir')","('person-395772', 'Matheus Ribeiro')","('person-335724', 'Daniel Guedes')","('person-220646', 'F. Noguera')","('person-32922', 'Leandro Donizete')","('person-183204', 'Léo Cittadini')","('person-174522', 'Rafael Longuine')","('person-75894', 'Kayke')","('person-63706', 'Thiago Ribeiro')","('person-425529', 'Arthur Gomes')","('person-404725', 'Rodrigão')","('person-22348', 'V. Hernández')",win,0,0.35526315789473684,0.37777777777777777
3,60.0,33.0,2.0,,1.0,2.0,2.0,7.0,4.0,15.0,,2.0,24.0,,,3.0,13.0,8.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitória,0,"Florianópolis, Santa Catarina",2017-05-14,60.0,34.0,0.0,,3.0,0.0,2.0,9.0,7.0,6.0,,2.0,20.0,40.0,,,3.0,8.0,17.0,Avaí,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Felipe Gomes da Silva,1,Estádio Aderbal Ramos da Silva,"('person-171106', 'Kozlinski')","('person-226923', 'Alemão')","('person-112310', 'Leandro Silva')","('person-9031', 'Betão')","('person-226827', 'Cappa')","('person-32454', 'Marquinhos')","('person-125463', 'Luan')","('person-236358', 'Judson')","('person-66297', 'Júnior Dutra')","('person-297878', 'Denílson')","('person-390427', 'Romulo')","('person-71994', 'Fernando Miguel')","('person-33478', 'Patric')","('person-112327', 'Alan Costa')","('person-392362', 'Geferson')","('person-192066', 'Rene')","('person-9114', 'Cleiton Xavier')","('person-32925', 'Willian Farias')","('person-171307', 'Uillian Correia')","('person-169159', 'Paulinho')","('person-396310', 'David')","('person-418187', 'Rafaelson')","('person-226394', 'Douglas Friedrich')","('person-228607', 'Diego Tavares')","('person-113164', 'Airton')","('person-32871', 'Gustavo')","('person-65010', 'João Paulo')","('person-88422', 'Gustavo Santos')","('person-303029', 'Lucas Otavio')","('person-9340', 'Vinícius Pacheco')","('person-235136', 'Diego Jardel')","('person-82889', 'Wellington Simião')","('person-478727', 'Lourenço')",None,"('person-410989', 'Caíque')","('person-328134', 'Vinicius')","('person-399761', 'Bruno')","('person-301699', 'Euller')","('person-139138', 'Leandro Salino')","('person-3611', 'L. Pisculichi')","('person-396909', 'Flavio')","('person-472663', 'Jhemerson')","('person-21954', 'J. Pineda')",None,None,None,draw,0,0.23076923076923078,0.5957446808510638
4,51.0,33.0,1.0,,4.0,,3.0,8.0,5.0,12.0,0.0,1.0,31.0,,,3.0,2.0,10.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,0,"Belo Horizonte, Minas Gerais",2017-05-14,49.0,26.0,0.0,,4.0,,1.0,2.0,5.0,10.0,1.0,0.0,23.0,43.0,,,3.0,10.0,13.0,Cruzeiro,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcelo de Lima Henrique,1,Estádio Governador Magalhães Pinto,"('person-8961', 'Fábio')","('person-71699', 'Dedé')","('person-161746', 'Diogo Barbosa')","('person-64406', 'Léo')","('person-9394', 'Rafinha')","('person-9112', 'Henrique')","('person-247639', 'G. De Arrascaeta')","('person-265228', 'L. Romero')","('person-33094', 'Húdson')","('person-276507', 'Alisson')","('person-51555', 'R. Ábila')","('person-97659', 'Renan Ribeiro')","('person-90037', 'Maicon')","('person-425510', 'Éder Militão')","('person-186289', 'Rodrigo Caio')","('person-376557', 'Junior')","('person-167149', 'Thiago Mendes')","('person-206339', 'João Schmidt')","('person-78542', 'Jucilei')","('person-40529', 'C. Cueva')","('person-232650', 'Marcinho')","('person-17657', 'L. Pratto')","('person-431776', 'Lucas França')","('person-97650', 'Rafael')","('person-9052', 'Fabricio')","('person-166611', 'John Lennon')","('person-165966', 'L. Caicedo')","('person-228064', 'Bryan')","('person-351995', 'Alex')","('person-233956', 'Lucas Silva')","('person-472697', 'Nonoca')","('person-329713', 'Raniel')",None,None,"('person-112354', 'Sidão')","('person-288073', 'Lucão')","('person-4733', 'D. Lugano')","('person-32942', 'Edimar Fraga')","('person-9241', 'Bruno')","('person-50285', 'J. Buffarini')","('person-9138', 'Cícero')","('person-282066', 'Luiz Araujo')","('person-113014', 'Thomaz')","('person-193778', 'A. Chávez')","('person-136395', 'Gilberto')",None,win,0,0.29545454545454547,0.31666666666666665
5,60.0,27.0,2.0,,0.0,,,1.0,2.0,17.0,0.0,1.0,31.0,0.0,,3.0,5.0,14.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport,0,"Campinas, São Paulo",2017-05-14,71.0,40.0,0.0,,2.0,,,4.0,4.0,12.0,4.0,2.0,20.0,50.0,1.0,,3.0,6.0,18.0,Ponte Preta,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcos Mateus Pereira,1,Estádio Moisés Lucarelli,"('person-32707', 'Aranha')","('person-158622', 'Marllon')","('person-83266', 'Nino Paraíba')","('person-10609', 'Kadu')","('person-197768', 'João Lucas')","('person-121328', 'Naldo')","('person-410124', 'Ravanelli')","('person-187565', 'Jádson')","('person-99989', 'Elton')","('person-159586', 'Lucca')","('person-234507', 'Clayson')","('person-9431', 'Magrão')","('person-104538', 'Igor')","('person-112519', 'Samuel Xavier')","('person-74217', 'Matheus Ferraz')","('person-397200', 'Evandro')","('person-327804', 'Everton Felipe')","('person-331265', 'Neto')","('person-248887', 'Rodrigo')","('person-75403', 'André')","('person-79694', 'Osvaldo')","('person-136408', 'Rogerio')","('person-98909', 'João Carlos')","('person-288072', 'Jeferson')","('person-63158', 'Fernandinho')","('person-442641', 'Matheus Jesus')","('person-226420', 'Fábio Braga')","('person-33861', 'Xuxa')","('person-4491', 'Wendel')","('person-66336', 'Lins')","('person-476222', 'Yuri')","('person-405600', 'Matheus Cassini')",None,None,"('person-64369', 'Agenor')","('person-398740', 'Adryelson')","('person-138100', 'Raul Prata')","('person-443959', 'Fabricio')","('person-429711', 'Fabio')","('person-313877', 'Ronaldo')","('person-289979', 'R. Lenis')","('person-9159', 'Paulo Henrique')","('person-435273', 'Juninho')",None,None,None,win,0,0.36619718309859156,0.3220338983050847
6,49.0,34.0,2.0,,5.0,1.0,1.0,7.0,2.0,14.0,0.0,2.0,22.0,0.0,,3.0,6.0,23.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vasco,0,"São Paulo, São Paulo",2017-05-14,43.0,35.0,0.0,,6.0,0.0,0.0,4.0,3.0,17.0,4.0,6.0,12.0,55.0,2.0,,3.0,11.0,16.0,Palmeiras,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rodolpho Toski Marques,1,Allianz Parque,"('person-16938', 'Fernando Prass')","('person-4734', 'Edu Dracena')","('person-289762', 'Y. Mina')","('person-32368', 'Jean')","('person-3288', 'Felipe Melo')","('person-10461', 'A. Guerra')","('person-9360', 'Zé Roberto')","('person-183186', 'Tchê Tchê')","('person-78745', 'Willian')","('person-82057', 'Dudu')","('person-194812', 'M. Borja')","('person-55853', 'M. Silva')","('person-302496', 'Henrique')","('person-8939', 'Rafael Marques')","('person-191945', 'Jomar')","('person-187555', 'Gilberto Junior')","('person-449544', 'Douglas Luiz')","('person-427644', 'Mateus Vital')","('person-362429', 'Jean')","('person-3838', 'Nenê')","('person-234689', 'Yago Picachu')","('person-4498', 'Luís Fabiano')","('person-71262', 'Jaílson')","('person-292017', 'Vinicius Silvestre')","('person-184542', 'Fabiano')","('person-233604', 'Antônio Carlos')","('person-9319', 'Egídio')","('person-234159', 'Hyoran')","('person-2059', 'Michel Bastos')","('person-228965', 'Thiago Santos')","('person-435665', 'Raphael Veiga')","('person-282209', 'Keno')","('person-391151', 'Roger Guedes')","('person-291015', 'Erik')","('person-406795', 'Gabriel Félix')","('person-173980', 'Mádson')","('person-442601', 'Alan Cardoso')","('person-10589', 'Wagner')","('person-398758', 'Evander')","('person-180826', 'Guilherme Costa')","('person-401', 'J. Dos Santos')","('person-33068', 'Bruno Gallo')","('person-14306', 'D. Escudero')","('person-483534', 'Paulo Vitor')","('person-129515', 'A. Escobar')","('person-159253', 'Kelvin')",win,0,0.45454545454545453,0.36538461538461536
7,41.0,16.0,1.0,,2.0,,0.0,3.0,3.0,11.0,2.0,1.0,20.0,,1.0,3.0,10.0,15.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético PR,2,"Salvador, Bahia",2017-05-14,53.0,41.0,0.0,,5.0,,2.0,10.0,14.0,11.0,6.0,4.0,20.0,51.0,,0.0,3.0,4.0,12.0,Bahia,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flavio Rodrigues De Souza,1,Arena Fonte Nova,"('person-395583', 'Jean')","('person-196743', 'Tiago Pagnussat')","('person-9462', 'Eduardo')","('person-112181', 'Lucas Fonseca')","('person-330147', 'Matheus Reis')","('person-92712', 'Edson')","('person-180856', 'A. Allione')","('person-282119', 'Regis')","('person-242453', 'Zé Rafael')","('person-64444', 'Juninho')","('person-189034', 'Edigar Junio')","('person-32538', 'Weverton')","('person-242516', 'Cleberson')","('person-404438', 'José Ivaldo')","('person-331836', 'Marcão')","('person-8964', 'Jonathan')","('person-282923', 'Sidcley')","('person-398252', 'Bruno Mota')","('person-226423', 'Eduardo Henrique')","('person-10604', 'Eduardo da Silva')","('person-8991', 'Guilherme')","('person-236688', 'Douglas Coutinho')","('person-78696', 'Anderson')","('person-90446', 'Rafael Santos')","('person-401521', 'Eder')","('person-428407', 'Juninho Capixaba')","('person-283268', 'Feijão')","('person-373415', 'Matheus Sales')","('person-40138', 'Maikon Leite')","('person-330833', 'Gustavo')","('person-72093', 'Diego Rosa')","('person-328199', 'Matheus Peixoto')",None,None,"('person-398285', 'Warleson')","('person-115496', 'Santos')","('person-395233', 'Cascardo')","('person-441513', 'Nicolas Vichiatto')","('person-404439', 'João Pedro')","('person-404440', 'Matheus Rossetto')","('person-158904', 'Nikão')","('person-1251', 'Grafite')","('person-395694', 'Crysan')","('person-441514', 'Yago César')","('person-408264', 'Luis Henrique')",None,win,0,0.40476190476190477,0.3404255319148936
8,58.0,33.0,5.0,,4.0,1.0,,3.0,4.0,19.0,0.0,1.0,15.0,,,3.0,9.0,14.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botafogo,0,"Porto Alegre, Rio Grande do Sul",2017-05-14,64.0,40.0,1.0,,7.0,0.0,,6.0,6.0,13.0,2.0,1.0,17.0,52.0,,,3.0,6.0,20.0,Grêmio,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Braulio da Silva Machado,1,Arena do Grêmio,"('person-9187', 'Marcelo Grohe')","('person-10265', 'Marcelo Oliveira')","('person-9064', 'Leo Moura')","('person-17076', 'Pedro Geromel')","('person-122865', 'W. Kannemann')","('person-174110', 'Ramiro')","('person-170956', 'Michel')","('person-288085', 'Arthur')","('person-285035', 'Luan')","('person-17194', 'L. Barrios')","('person-283522', 'Pedro Rocha')","('person-23639', 'R. Fernández')","('person-257112', 'Victor Luis')","('person-383067', 'Igor Rabello')","('person-444966', 'Marcelo Conceição')","('person-328427', 'Emerson')","('person-113530', 'João Paulo')","('person-39934', 'Airton')","('person-56294', 'Camilo')","('person-94923', 'Bruno Silva')","('person-32705', 'Rodrigo Pimpão')","('person-33077', 'Roger')","('person-328222', 'Leonardo')","('person-172590', 'Bruno Cortez')","('person-32967', 'Bruno Rodrigo')","('person-286196', 'Rafael Thyere')","('person-115239', 'Bressan')","('person-292652', 'Léo Gomes')","('person-450353', 'Machado')","('person-400791', 'Jailson')","('person-417745', 'Kaio')","('person-327852', 'Everton')","('person-15124', 'G. Fernández')","('person-32654', 'Fernandinho')","('person-171229', 'Helton Leite')","('person-89889', 'Renan Fonseca')","('person-483562', 'Fernando Costanza')","('person-128883', 'Gilson')","('person-481981', 'Wenderson')","('person-112806', 'Rodrigo Lindoso')","('person-395563', 'Fernandes')","('person-236674', 'Joel')","('person-434106', 'Guilherme')",None,None,None,win,0,0.24299065420560748,0.2631578947368421
9,52.0,34.0,2.0,,8.0,1.0,1.0,7.0,6.0,13.0,1.0,1.0,18.0,,,3.0,12.0,18.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético GO,1,"Curitiba, Paraná",2017-05-15,64.0,33.0,1.0,,3.0,0.0,2.0,10.0,6.0,17.0,4.0,1.0,15.0,59.0,,,3.0,9.0,14.0,Coritiba,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis César De Oliveira Magalhães,1,Estádio Major Antônio Couto Pereira,"('person-32312', 'Wilson')","('person-192640', 'Walisson')","('person-425511', 'Dodô')","('person-74179', 'Werley')","('person-35363', 'William Matheus')","('person-282120', 'Matheus Galdezani')","('person-103550', 'Alan Santos')","('person-10369', 'Anderson')","('person-33088', 'Kléber')","('person-74784', 'Henrique Almeida')","('person-70899', 'Neto Berola')","('person-116497', 'Klever')","('person-74340', 'Roger Carvalho')","('person-71010', 'Eduardo')","('person-227298', 'Ricardo Silva')","('person-227670', 'Bruno Pacheco')","('person-230017', 'Igor')","('person-228966', 'Marcão')","('person-64417', 'Walter')","('person-225224', 'Everaldo')","('person-148106', 'Jorginho')","('person-305863', 'Walterson')","('person-171924', 'Bruno Brigido')","('person-397558', 'Marcio')","('person-328532', 'Henrique')","('person-233411', 'Jonas')","('person-121795', 'Tiago Real')","('person-9416', 'Edinho')","('person-411912', 'Thiago')","('person-282413', 'Tomas Bastos')","('person-179306', 'Getterson')","('person-331263', 'Leonardo')","('person-64341', 'Alecsandro')",None,"('person-196498', 'Marcos Dutra')","('person-194786', 'Bonfim')","('person-170988', 'André Castro')","('person-288076', 'Eduardo Gabriel')","('person-395693', 'Luiz Fernando')","('person-404638', 'Silva')","('person-477201', 'João Pedro')","('person-180828', 'Andrigo')","('person-81880', 'Júnior Viçosa')",None,None,None,win,0,0.28378378378378377,0.31746031746031744
