,data,time_casa,time_visitante,resultado,id_partida,link
0,2007-05-12 19:10:00,Figueirense,Atlético PR,3-6,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/figueirense/atletico-pr/455677/1/live
1,2007-05-12 19:10:00,Fluminense,Cruzeiro,2-2,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/cruzeiro/455678/1/live
2,2007-05-12 19:10:00,São Paulo,Goiás,2-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/goias/455679/1/live
3,2007-05-13 17:00:00,Atlético MG,Náutico,2-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/nautico/455680/1/live
4,2007-05-13 17:00:00,Internacional,Botafogo,2-3,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/internacional/botafogo/455681/1/live
5,2007-05-13 17:00:00,Flamengo,Palmeiras,2-4,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/palmeiras/455682/1/live
6,2007-05-13 17:00:00,Paraná,Grêmio,3-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/parana-clube/gremio/455683/1/live
7,2007-05-13 19:10:00,América RN,Vasco,0-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/america-rn/vasco/455684/1/live
8,2007-05-13 19:10:00,Corinthians,Juventude,1-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/juventude/455685/1/live
9,2007-05-13 19:10:00,Sport,Santos,4-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/santos/455686/1/live
10,2007-05-19 19:10:00,Juventude,Paraná,1-2,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/juventude/parana-clube/455687/1/live
11,2007-05-19 19:10:00,Atlético PR,Internacional,2-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/internacional/455688/1/live
12,2007-05-19 19:10:00,Santos,América RN,2-3,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/america-rn/455689/1/live
13,2007-05-20 17:00:00,Goiás,Flamengo,1-3,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/goias/flamengo/455690/1/live
14,2007-05-20 17:00:00,Botafogo,Atlético MG,2-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/atletico-mg/455691/1/live
15,2007-05-20 17:00:00,Cruzeiro,Corinthians,0-3,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/corinthians/455692/1/live
16,2007-05-20 17:00:00,Palmeiras,Figueirense,2-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/figueirense/455693/1/live
17,2007-05-20 19:10:00,Vasco,Sport,3-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/sport/455694/1/live
18,2007-05-20 19:10:00,Náutico,São Paulo,1-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/nautico/sao-paulo/455695/1/live
19,2007-05-20 19:10:00,Grêmio,Fluminense,2-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/fluminense/455696/1/live
20,2007-05-26 19:10:00,América RN,Figueirense,0-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/america-rn/figueirense/455697/1/live
21,2007-05-26 19:10:00,Corinthians,Atlético MG,0-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/atletico-mg/455698/1/live
22,2007-05-26 19:10:00,Fluminense,Internacional,3-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/internacional/455699/1/live
23,2007-05-27 17:00:00,Atlético PR,Santos,0-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/santos/455700/1/live
24,2007-05-27 17:00:00,Náutico,Vasco,2-2,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/nautico/vasco/455701/1/live
25,2007-05-27 17:00:00,Grêmio,Sport,1-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/sport/455702/1/live
26,2007-05-27 17:00:00,São Paulo,Palmeiras,0-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/palmeiras/455703/1/live
27,2007-05-27 19:10:00,Flamengo,Botafogo,2-2,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/botafogo/455704/1/live
28,2007-05-27 19:10:00,Cruzeiro,Paraná,3-4,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/parana-clube/455705/1/live
29,2007-05-27 19:10:00,Goiás,Juventude,3-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/goias/juventude/455706/1/live
30,2007-06-02 19:10:00,Figueirense,Goiás,2-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/figueirense/goias/455707/1/live
31,2007-06-02 19:10:00,Botafogo,Grêmio,3-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/gremio/455708/1/live
32,2007-06-02 19:10:00,Atlético MG,Atlético PR,1-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/atletico-pr/455709/1/live
33,2007-06-03 17:00:00,Palmeiras,Cruzeiro,1-3,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/cruzeiro/455710/1/live
34,2007-06-03 17:00:00,Sport,Flamengo,2-2,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/flamengo/455711/1/live
35,2007-06-03 17:00:00,Santos,Corinthians,1-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/corinthians/455712/1/live
36,2007-06-03 17:00:00,Juventude,América RN,3-0,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/juventude/america-rn/455713/1/live
37,2007-06-03 19:10:00,Vasco,Fluminense,1-1,gsm_id_455677,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/fluminense/455714/1/live
